,Static Bz,MW transition,MW detunings,MW magnetic field X,MW magnetic field Y,MW magnetic field Z,Laser detunings,Doppler FWHM,Laser intensity,Laser polarization
0,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-4482614855.575077,3518583772.0205684,0.1,Sigma Plus
1,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-3004145027.6263165,3518583772.0205684,0.1,Sigma Plus
2,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-1944366322.8372788,3518583772.0205684,0.1,Sigma Plus
3,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-1207298509.687787,3518583772.0205684,0.1,Sigma Plus
4,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-712897696.9855416,3518583772.0205684,0.1,Sigma Plus
5,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-395607575.6544944,3518583772.0205684,0.1,Sigma Plus
6,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-202910660.52322638,3518583772.0205684,0.1,Sigma Plus
7,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-93879532.11332227,3518583772.0205684,0.1,Sigma Plus
8,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-37728078.427743345,3518583772.0205684,0.1,Sigma Plus
9,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-12362736.73920295,3518583772.0205684,0.1,Sigma Plus
10,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-2933735.378541321,3518583772.0205684,0.1,Sigma Plus
11,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-386335.5231000908,3518583772.0205684,0.1,Sigma Plus
12,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,-12072.985096877837,3518583772.0205684,0.1,Sigma Plus
13,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,0.0,3518583772.0205684,0.1,Sigma Plus
14,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,12072.985096878012,3518583772.0205684,0.1,Sigma Plus
15,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,386335.5231000936,3518583772.0205684,0.1,Sigma Plus
16,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,2933735.3785413285,3518583772.0205684,0.1,Sigma Plus
17,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,12362736.73920295,3518583772.0205684,0.1,Sigma Plus
18,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,37728078.427743345,3518583772.0205684,0.1,Sigma Plus
19,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,93879532.11332251,3518583772.0205684,0.1,Sigma Plus
20,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,202910660.52322662,3518583772.0205684,0.1,Sigma Plus
21,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,395607575.6544944,3518583772.0205684,0.1,Sigma Plus
22,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,712897696.9855428,3518583772.0205684,0.1,Sigma Plus
23,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,1207298509.6877887,3518583772.0205684,0.1,Sigma Plus
24,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,1944366322.8372798,3518583772.0205684,0.1,Sigma Plus
25,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,3004145027.6263165,3518583772.0205684,0.1,Sigma Plus
26,0.1,1,(42942256933.99608+0j),0.0004363072115525702,0.00486427127229749,0.008479560460247788,4482614855.575077,3518583772.0205684,0.1,Sigma Plus
